mean_gray,median_gray,std_gray,min_gray,max_gray,contrast,entropy,h_mean,s_mean,v_mean,h_std,s_std,v_std,l_mean,a_mean,b_mean,l_std,a_std,b_std,edge_density,laplacian_var,bright_ratio,dark_ratio,id,label
73.14991760253906,65.0,41.622513624661174,0,194,41.622513624661174,5.032064,41.816593170166016,75.5879020690918,78.05232620239258,34.944003568606554,56.40569633478858,41.44069070129419,78.25395965576172,125.86444473266602,135.2985496520996,45.37138503163153,4.454920161213781,5.600768257500514,0.0120697021484375,219.4836287828948,0.0,0.3470802307128906,02137a86-0743-40e0-845b-6d22d1d5cc85,0
71.03992080688477,74.0,35.679528154920185,0,198,35.679528154920185,4.856895,50.89838790893555,60.28187942504883,75.31521987915039,28.944199932671676,45.63788529736845,36.33539942266219,76.90970230102539,123.29827499389648,133.85231399536133,39.86175181005997,4.374290443625547,3.988359362915354,0.018215179443359375,229.05230284458958,0.0,0.2727165222167969,025d39a8-7859-4558-9bf9-bbdd475c6100,0
96.13311004638672,91.0,48.008488828654656,6,232,48.008488828654656,5.073146,27.287616729736328,75.13874435424805,104.93917846679688,27.574082589917904,35.89282531923998,49.180302919068254,102.35947799682617,128.52732849121094,138.83045196533203,49.64161145015232,4.5023925434144365,5.32336473314616,0.0355377197265625,281.9448196944868,0.055027008056640625,0.1883697509765625,02a2a878-c5a4-490a-8061-6b2f4ac3b6d0,0
44.12577438354492,37.5,26.34037149779954,2,185,26.34037149779954,4.457826,76.59122848510742,100.45303344726562,50.62430191040039,26.229380930677173,51.85709823195309,26.804909909852434,47.19196701049805,122.21440124511719,129.89530563354492,30.07458295424418,4.816540017570478,6.653980040173923,0.0204925537109375,237.09636490301637,0.0,0.6744613647460938,047f7996-9f0d-4a04-ae7f-24e246c407c7,0
52.54513168334961,44.0,30.15209262140055,0,157,30.15209262140055,4.4249215,60.715370178222656,111.25193786621094,61.120086669921875,16.558465272496512,41.08807677425861,33.06460187733918,58.79843521118164,116.1226806640625,136.32559204101562,34.338513046342136,6.066669906664034,4.152094810103099,0.010009765625,225.81934064626694,0.0,0.6281852722167969,052a9d62-a31f-4e4f-9a76-edac2d2ae95d,0
68.59346389770508,50.0,42.1663134029572,9,163,42.1663134029572,4.6912303,46.70424270629883,78.86712265014648,74.40084075927734,23.459856576933355,37.7874620747616,42.92642786363653,73.9525260925293,122.1522102355957,136.6333885192871,45.83933479405711,5.522092545940167,4.9416045706736655,0.053707122802734375,278.22991414343414,0.0,0.4873466491699219,055c2350-b6f3-4263-a546-dca9b0fbba0e,0
59.31312942504883,29.0,52.488327391636474,2,223,52.488327391636474,4.6481376,61.80038833618164,87.9739761352539,65.45215606689453,53.30309832302717,42.5466968686556,54.04156850786794,61.420860290527344,126.06340408325195,135.65605926513672,58.36301203184961,6.404627498164476,10.391402111936406,0.02535247802734375,256.509446403943,0.008747100830078125,0.6055183410644531,05a66337-9cae-45a8-ac55-b5a0116dad45,0
61.074703216552734,48.0,45.60272124715793,0,206,45.60272124715793,4.890669,45.43748092651367,86.32616806030273,67.16999435424805,39.54019010269978,44.17155635743758,47.56334107231913,64.32049942016602,125.98023223876953,136.17173385620117,50.063488424507575,5.3196289926464795,7.830663873371284,0.04578399658203125,271.3953956430778,0.000240325927734375,0.5073394775390625,05ee0eac-7e97-4be3-8898-b5c9f85dfa3f,0
76.69841384887695,83.0,35.97191944097251,1,197,35.97191944097251,4.8265233,34.54126739501953,97.63467025756836,83.21063232421875,24.536304400777556,37.895700959531105,36.62148883774306,83.31024169921875,124.03886032104492,142.39764022827148,40.217242287811125,4.986153744498695,6.74283060313407,0.0453643798828125,268.9763967559993,0.0,0.24376296997070312,060aed4d-8b5d-4282-ad43-95beab9ddef1,0
40.83565902709961,33.0,33.00677900486243,0,194,33.00677900486243,4.467968,42.18527603149414,139.34670639038086,46.203529357910156,29.726153029299034,56.15257390904928,33.98852642200793,42.68520736694336,124.22762298583984,138.3760757446289,36.83771473859221,4.7529639930456495,7.9339794122858205,0.008815765380859375,224.72738619903976,0.0,0.7903976440429688,06629dac-267b-48e2-a79b-f8876dd3bee5,0
